note_id,content,label,raw_response
69013e1d00000000070394f7,主题：民族一家亲,1," : {""label"": 1}"
6530badb0000000025020050,填充是灰色无法点选怎么办,0,"{""label"": 0}"
67eeb316000000000e004252,有那么难吗？这不是vector search吗？,1,"{""label"": 1}"
69858993000000001b017e35,现在小程序也可以使用啦详情见最新笔记飞吻,1,"{""label"": 1}"
69872946000000001a032a4f,用反了吧，gemini幻觉太严重了，反而是gpt严谨，一般gemini出内容gpt去验证,-1," : {""label"": -1}"
6517a55e0000000020000774,我的冷傲哭惹我的总裁先生现在听那些录音我都忍不住掉眼泪哭惹,1," : {""label"": 1}"
6824bdda000000002002ac86,其实口水歌还是强一点的笑哭有记忆点 ai歌毫无记忆点,-1,"{""label"": -1}"
69aa5ba0000000000e00f8aa,感谢博主！刚好是我最近需要的横向测评！看完之后决定买钉钉了,1," : {""label"": 1}"
68024f21000000001e00847a,有年龄限制吗,0," : {""label"": 0}"
682bfd7a000000002300d975,我真的超爱林间,1," : {""label"": 1}"
644b158a000000001301261a,这个写出来的故事根本就不会火啊,-1,"{""label"": -1}"
6968c20f000000000a0308cb,这个是免费的吗,0,"{""label"": 0}"
67e1b3a1000000001203f209,个人意见，如果是想学真的建筑就不要把时间浪费在这个上面了，完全不是一个东西，现在市面上的AI绘图的底层逻辑和建筑口上设计相关的出图逻辑是不一样的，前者是画图，后者是出图笑哭，会越走越远的。还有如果真的想的为了省事出效果图 尤其是大尺度的不如试试插画风格 底层逻辑有交叉点，相比之下可能会更省事一点，后期精修p图可能也更容易,-1," : {""label"": -1}"
698d2280000000000a029d54,谁能具体的说一下rules. Md这个文件怎么用？是用什么软件配合，我用ds帮我写过一个小工具，就是在对话框里不停对话，走什么更高级的vibe 手段吗,0," : {""label"": 0}"
679a143d000000001701faa4,反正每天只有第一个问题不卡。后续追问绝对卡。变相限流,-1," : {""label"": -1}"
6800ba24000000001c02c94c,今天六级翻译几乎考了好多次我的妈，一次考了这么多哭惹,-1," : {""label"": -1}"
67eb8cd8000000001d024fa1,突然想到我的蛋糕笑哭,1,"{""label"": 1}"
67d161a9000000002903330b,老师，太香了！,1," : {""label"": 1}"
67388a50000000003c01f71c,大佬，ps中有很多图层，怎么导入到ai中,0," : {""label"": 0}"
693673c5000000001b025bb5,没啥毛病吧，至少能节约token。直接用最冷酷的措辞下命令就行了,1," : {""label"": 1}"
68b6951d000000001d0156fa,我一定会中的萌萌哒萌萌哒,1," : {""label"": 1}"
6840f1c00000000022027f53,分割后会不会出现 前面忘记后面内容 后面不知道前面内容,-1," : {""label"": -1}"
698b2e470000000015039209,其实就是做了个skill，连了一个生图捂脸,0,"{""label"": 0}"
69a946f7000000000e00c446,AI现在太方便了,1," : {""label"": 1}"
69249bcf000000001b0326a3,看到你的帖子用简单草率的prompt试了下 gpt都给我整无语了,-1,"{""label"": -1}"
664ac0860000000014019f7a,請問有方法與微信读书結合嗎？就是微信读书的高亮存放在Readwise,0," : {""label"": 0}"
691aea4100000000070391d7,采访对象本身就有自己的利益，心理咨询行业本身对ai的心理咨询师角色就是排斥啊，不然ai取代他们了还怎么活doge,-1," : {""label"": -1}"
661e4f6b0000000001004b83,UP您好，DPM 2M Karras DPM 2S a Karras采样 我这里没有，你私我个启动器吗？关注了,1," : {""label"": 1}"
69313460000000001f00c2bd,把关节练坏了再来线下找老师,-1," : {""label"": -1}"
691eac4d000000000d038dfa,可说到底，目前最强的谷歌3.0是免费的。而且这年头说亏钱经营，短期几周还行，长期不是拿别人当傻子了。,1," : {""label"": 1}"
