note_id,content,label
66e39a4100000000250316ea,可以问问具体网址吗大笑,1
690763230000000004021862,这是什么ai软件,0
6985ade9000000001a01fadd,什么时候可以玩呜呜,1
692efb92000000001e00d2fc,cercel要手机号哭惹哭惹哭惹。咋整,0
68c9137e00000000120212e4,不是啊哭惹哭惹哭惹我的豆包感觉吃了魔丸了，我放了一张我自己之前拍的鸣潮美照，因为不太清晰，想的是可以清晰一点微笑美丽一点微笑结果,1
6909c58d000000000300dcd6,太有意思了！如果可以是波兰语，为什么不能是俄语！,1
681b6e5b000000002100b9e0,怎么没有运行按钮啊哭惹哭惹,-1
693bc262000000001e03667a,部署到本地吗,0
67b509af000000002a002933,亲爱的朋友不好意思我手里的兑换码已经发完了，感兴趣的朋友可以,0
693ae9e4000000000d03b41b,nano banana pro提示词及用法已更新，在这里查看哦,0
698dc6fc000000001a02c876,有一种做上帝的感觉。,1
6732d4ec000000001a01f73e,请问这个本质是指导你如何使用工具？还是还有其他功能,0
684969d40000000022036ab5,感谢分享皱眉害羞玫瑰玫瑰玫瑰,1
6997398a000000001b01c7c7,怎么没有5.3doge,0
6888a9af0000000004006507,游戏公司的会议模板有吗,0
69a45640000000002801caf1,程序員要失業了,-1
685f48d10000000010024a87,谢谢 上一份工作模型就是这个,0
668932aa000000000d00df64,嘻嘻老师这也是跟你要的图喝奶茶标过出处啦!超爱你的图飞吻,1
6970c7e4000000000a032455,它和gpt比呢,0
69a04446000000001a0228fd,光速写作不也很好吗,1
69818bde000000002203a445,镜子还有这么多功能啊？,0
6877b8fa000000002400c6d1,不是，为什么都问我t的事笑哭没人问我英语的事吗，亲戚小孩问我最多的好像都是怎么学英语来着（此处无收费没广告，就是单纯有点疑惑笑哭,0
6963af4c000000000e03ceeb,怎么用Ai生成ppt 呢,0
69855056000000002202caf4,"你用的是以前的AI,停留在文字图片生成视频这些东东里。现在的AI是直接干活的。",0
69422603000000001e038807,原来如此 赶快去试一下,1
66151fe4000000001a01254a,请问有没有AI运营岗推荐呢？,0
64e0a2bd0000000017018c15,现在还可以求个源文件吗害羞,0
67c052cd000000002901e2c1,请你仔细阅读并理解这篇文献，并按照以下结构给我详细讲解主要内容： 研究背景和问题 研究目的和创新点 研究方法和实验设计 主要结果和结论 潜在意义和未来工作方向。 请确保语言清晰，并结合实际内容提供必要的解释和补充。,0
69abbd9e000000000e00f079,token不够就算了,-1
668ca0790000000003026d96,实际上，加上原画对比就能立刻感觉到哪个是ai画的，原画的质感和细节一眼就能看到,0
